,0
2610,28
2611,26
2612,25
2613,29
2614,27
2615,28
2616,25
2617,24
2618,24
2619,28
2620,23
2621,24
2622,19
2623,22
2624,21
2625,22
2626,21
2627,23
2628,25
2629,25
2630,22
2631,24
2632,25
2633,26
2634,24
2635,22
2636,22
2637,23
2638,20
2639,21
2640,25
2641,23
2642,26
2643,25
2644,26
2645,30
2646,29
2647,30
2648,28
2649,26
2650,24
2651,22
2652,21
2653,27
2654,26
2655,23
2656,24
2657,24
2658,22
2659,22
2660,20
2661,22
2662,26
2663,23
2664,23
2665,25
2666,23
2667,23
2668,23
2669,23
2670,24
2671,25
2672,25
2673,25
2674,24
2675,27
2676,25
2677,29
2678,29
2679,32
2680,27
2681,29
2682,26
2683,26
2684,26
2685,26
2686,24
2687,25
2688,27
2689,25
2690,22
2691,25
2692,23
2693,21
2694,21
2695,23
2696,22
2697,21
2698,23
2699,22
2700,23
2701,23
2702,22
2703,21
2704,21
2705,21
2706,21
2707,21
2708,19
2709,24
2710,24
2711,22
2712,23
2713,20
2714,22
2715,21
2716,24
2717,23
2718,25
2719,25
2720,22
2721,24
2722,22
2723,23
2724,26
2725,23
2726,22
2727,20
2728,22
2729,21
2730,20
2731,23
2732,22
2733,22
2734,21
2735,20
2736,18
2737,19
2738,21
2739,19
2740,21
2741,20
2742,21
2743,20
2744,21
2745,20
2746,20
2747,22
2748,22
2749,18
2750,19
2751,18
2752,22
2753,20
2754,20
2755,21
2756,22
2757,21
2758,18
2759,18
2760,17
2761,19
2762,23
2763,20
2764,24
2765,19
2766,21
2767,21
2768,17
2769,18
2770,18
2771,16
2772,18
2773,18
2774,17
2775,18
2776,19
2777,22
2778,23
2779,22
2780,24
2781,24
2782,24
2783,19
2784,22
2785,25
2786,23
2787,22
2788,24
2789,22
2790,21
2791,20
2792,19
2793,19
2794,19
2795,22
2796,20
2797,19
2798,21
2799,21
2800,21
2801,24
2802,20
2803,22
2804,23
2805,21
2806,21
2807,19
2808,17
2809,19
2810,17
2811,21
2812,19
2813,21
2814,17
2815,21
2816,22
2817,22
2818,25
2819,24
2820,24
2821,23
2822,23
2823,24
2824,19
2825,18
2826,19
2827,17
2828,16
2829,17
2830,17
2831,17
2832,18
2833,18
2834,18
2835,20
2836,20
2837,17
2838,19
2839,18
2840,19
2841,19
2842,17
2843,17
2844,18
2845,19
2846,18
2847,17
2848,18
2849,20
2850,20
2851,17
2852,19
2853,18
2854,19
2855,21
2856,23
2857,20
2858,21
2859,22
2860,21
2861,18
2862,18
2863,18
2864,17
2865,18
2866,20
2867,16
2868,19
2869,20
2870,18
2871,18
2872,20
2873,19
2874,22
2875,21
2876,21
2877,19
2878,18
2879,18
2880,18
2881,20
2882,16
2883,18
2884,18
2885,18
2886,17
2887,19
2888,20
2889,20
2890,21
2891,18
2892,18
2893,16
2894,15
2895,15
2896,16
2897,15
2898,21
2899,17
2900,16
2901,16
2902,17
2903,18
2904,20
2905,19
2906,17
2907,18
2908,17
2909,22
2910,23
2911,23
2912,23
2913,24
2914,22
2915,22
2916,22
2917,23
2918,24
2919,28
2920,25
2921,24
2922,28
2923,27
2924,31
2925,29
2926,27
2927,26
2928,27
2929,23
2930,21
2931,25
2932,25
2933,23
2934,25
2935,26
2936,26
2937,26
2938,28
2939,24
2940,22
2941,20
2942,22
2943,20
2944,19
2945,21
2946,21
2947,23
2948,20
2949,19
2950,22
2951,21
2952,24
2953,25
2954,25
2955,25
2956,21
2957,22
2958,24
2959,25
2960,25
2961,25
2962,22
2963,20
2964,22
2965,23
2966,29
2967,26
2968,28
2969,25
2970,26
2971,22
2972,27
2973,28
2974,27
2975,24
2976,26
2977,29
2978,31
2979,32
2980,27
2981,29
2982,30
2983,24
2984,26
2985,27
2986,28
2987,29
2988,29
2989,26
2990,31
2991,30
2992,29
2993,23
2994,24
2995,28
